NSTRT,ESTRT,REPORT_NO,TYPE,INJA,INJB,INJC,INJK,DIST,DIR,PRI,U1ACT,TCD,SURF,LITE,AC_DATE,AC_TIME,DIRU1,DIRU2,YEAR,INTRSECT,ID
WYLIE DR,MARKET ST,20021878,2,0,2,0,0,0,,N,1,3,1,1,8/30/2002,1:03 AM,S,E,2002,,776
CLINTON ST WEST,OAKLAND AVE,20021871,2,1,0,0,0,0,,N,3,3,1,1,8/29/2002,6:48 PM,SE,SE,2002,,268
MCLEAN ST,FRONT ST,20021683,2,0,1,0,0,0,,N,3,1,9,1,8/7/2002,8:30 AM,E,W,2002,,234
MAIN ST,MILLER ST,20021667,2,0,1,0,0,0,,N,99,2,9,1,8/4/2002,6:32 PM,S,NE,2002,,1495
MASON ST,MARKET ST,20021639,2,0,0,1,0,0,,N,3,1,1,1,7/30/2002,7:56 PM,S,W,2002,,214
ALLIN ST,MONROE ST,20021584,2,0,0,0,0,0,,N,15,2,1,1,7/25/2002,5:30 PM,W,S,2002,,1004
CAROLINE ST,MARKET ST,20021580,2,0,1,0,0,125,S,N,20,1,1,1,7/24/2002,6:25 PM,N,E,2002,,839
CENTER ST,CHESTNUT ST,20020222,2,0,1,0,0,100,W,N,1,1,2,3,1/30/2002,4:56 PM,W,N,2002,,766
PROSPECT RD,EASTLAND DR,20020077,2,0,0,0,0,0,,N,99,2,1,1,1/9/2002,5:00 PM,E,S,2002,,535
CENTER ST,EMPIRE ST,20022269,2,0,0,1,0,0,,N,1,3,1,1,10/22/2002,12:00 PM,S,E,2002,Y,750
REGENCY DR,OAKLAND AVE,20022293,2,0,0,0,0,0,,N,1,3,1,1,10/25/2002,1:45 PM,N,W,2002,Y,272
ERICKSON AVE,INDIANA AVE,20022181,2,1,0,0,0,100,,N,23,1,1,1,10/10/2002,4:44 PM,E,S,2002,N,913
CLINTON ST,CHESTNUT ST,20030571,2,0,1,0,0,100,S,Y,23,1,1,1,3/14/2003,3:58 PM,N,W,2003,N,677
SOUTHGATE ESTATES TRAILER,TRAILER COURT,20030791,2,0,1,0,0,30,E,Y,1,1,1,1,4/19/2003,1:30 PM,N,E,2003,N,1631
LANGS ALLEY,OAKLAND AVE,20031050,2,0,0,0,0,0,,N,24,1,1,5,5/21/2003,8:30 PM,NW,W,2003,Y,1056
HERSHEY RD,RAINBOW AVE,20031177,2,0,0,0,0,200,N,Y,1,1,1,1,6/5/2003,3:00 PM,N,W,2003,N,318
MOBILE LAND,TRAILER COURT,20031354,2,1,0,0,0,0,,Y,23,1,1,3,7/2/2003,9:15 PM,N,N,2003,N,984
MAIN ST,BEECHER ST,20031466,2,0,0,0,0,100,N,Y,20,1,1,1,7/18/2003,4:25 PM,W,S,2003,N,191
CENTER ST,WOOD ST,20031469,2,0,0,0,0,5,N,Y,1,1,1,5,7/18/2003,8:21 PM,S,W,2003,N,1467
CLAYTON ST,OAKLAND AVE,20031593,2,0,0,1,0,0,,N,15,2,1,1,8/3/2003,1:57 PM,N,E,2003,Y,269
MAIN ST,MACARTHUR AVE,20031890,2,0,0,1,0,0,,N,1,2,1,1,9/12/2003,12:55 PM,E,S,2003,Y,1451
MADISON ST,LOCUST ST,20032067,2,0,0,0,0,0,,N,1,1,1,1,10/2/2003,5:15 PM,N,W,2003,Y,197
MCLEAN ST,LOCUST ST,20032409,2,0,0,0,0,0,,N,1,2,1,5,11/19/2003,7:15 PM,S,W,2003,Y,177
MORRIS AVE,MARKET ST EAST,20032434,2,0,1,0,0,0,,N,1,3,1,5,11/21/2003,8:43 PM,N,E,2003,Y,1000
VETERANS PKWY,WASHINGTON ST,20040591,2,1,0,0,0,0,,N,1,3,2,5,3/14/2004,4:41 AM,W,N,2004,Y,142
GRANDVIEW ESTS TRAILER CT,TRAILER COURT,20041217,2,0,1,0,0,50,E,Y,23,1,1,1,6/6/2004,8:01 PM,N,S,2004,N,991
ALLIN ST,OAKLAND AVE,20041234,2,1,0,0,0,0,,N,1,2,2,1,6/10/2004,9:05 AM,N,W,2004,Y,227
MAIN ST,LAFAYETTE ST,20041420,2,0,0,0,0,0,,N,1,2,1,1,7/5/2004,6:40 PM,S,E,2004,Y,1567
RYAN DR,CLOUD ST,20041422,2,0,1,0,0,0,,N,1,2,1,1,7/7/2004,8:15 AM,N,E,2004,Y,1349
WILLIAMSBURG DR,WASHINGTON ST,20041467,2,0,0,0,0,0,,N,1,2,1,1,7/12/2004,7:00 AM,S,E,2004,Y,388
OAK ST,MARKET ST,20041494,2,0,1,0,0,0,,N,1,2,1,1,7/15/2004,5:27 PM,W,S,2004,Y,1080
MAIN ST,MACARTHUR AVE,20041553,2,1,0,0,0,0,,N,3,2,1,1,7/23/2004,6:40 AM,N,W,2004,Y,1451
ERICKSON AVE,ILLINOIS AVE,20041596,2,1,0,0,0,1320,W,N,23,1,1,1,7/25/2004,6:45 PM,N,E,2004,N,903
ALLIN ST,WOOD ST,20041637,2,1,0,0,0,0,,N,99,2,1,1,8/4/2004,6:30 PM,S,W,2004,Y,1460
LIVINGSTON ST,TOKIO ST,20041826,2,0,1,0,0,0,,N,4,1,1,1,8/30/2004,9:30 AM,SW,E,2004,Y,942
LEE ST,CHESTNUT ST,20041876,2,0,0,1,0,100,E,N,99,1,1,4,9/4/2004,8:15 PM,E,E,2004,N,769
ALEXANDER RD,BUTCHERS LN,20041878,2,1,0,0,0,0,,N,1,2,1,3,9/5/2004,7:10 PM,W,N,2004,Y,939
R T DUNN DR,LAFAYETTE ST,20041943,2,0,0,0,0,0,,N,1,12,1,4,9/16/2004,11:07 PM,E,W,2004,Y,1828
ROOSEVELT AVE,GRAHAM ST,20042024,2,0,0,1,0,0,,N,7,2,1,4,9/27/2004,8:38 PM,E,N,2004,Y,738
EAST ST,OLIVE ST,20042560,2,0,0,0,0,60,W,N,1,1,1,5,12/3/2004,11:38 PM,E,N,2004,N,1126
MORRISSEY DR,VETERANS PKWY,20050756,2,0,0,0,0,0,,N,1,3,1,1,4/6/2005,7:00 AM,W,N,2005,Y,97
REGENCY DR,WASHINGTON ST,20050961,2,0,1,0,0,0,,N,4,3,1,5,5/10/2005,8:31 PM,S,E,2005,Y,1240
VETERANS PKWY,JUMER DR,20050973,2,0,1,0,0,500,E,Y,99,1,9,4,5/11/2005,10:34 AM,SW,NW,2005,N,19
LEE ST,JACKSON ST,20051245,2,0,0,0,0,0,,N,1,2,1,1,6/21/2005,3:00 PM,E,N,2005,Y,1148
MORRIS AVE,GROVE ST,20051286,2,0,0,0,0,400,E,Y,99,1,1,1,6/13/2005,1:00 PM,N,N,2005,N,1019
WESTERN AVE,MACARTHUR AVE,20051322,2,1,0,0,0,0,,N,1,2,1,4,7/1/2005,9:15 PM,N,E,2005,Y,917
CLINTON ST,OAKLAND AVE,20051631,2,0,0,0,0,0,,N,1,3,2,1,8/12/2005,3:41 PM,E,N,2005,Y,267
PRAIRIE ST,DOUGLAS ST,20051705,2,0,1,0,0,0,,N,1,2,1,1,8/24/2005,6:50 AM,E,N,2005,Y,1069
OAK ST,BISSELL ST,20051780,2,0,0,0,0,150,S,N,1,1,1,1,9/2/2005,4:50 PM,E,S,2005,N,1514
VETERANS PKWY,EASTLAND DR,20051848,2,0,0,1,0,0,,N,4,3,1,1,9/14/2005,12:01 PM,E,W,2005,Y,137
NORTH POINTE DR,COLLEGE AVE,20052075,2,0,0,0,0,0,,N,1,2,1,1,10/14/2005,8:11 AM,E,S,2005,Y,38
HERSHEY RD,OAKLAND AVE,20052137,2,0,0,0,0,0,,N,1,3,1,1,10/22/2005,4:35 PM,W,N,2005,Y,469
DENVER ST,JACKSON ST SOUTH,20052185,2,0,0,1,0,0,,N,7,2,1,5,10/28/1958,6:03 AM,E,N,2005,Y,261
CLINTON ST,WASHINGTON ST,20060360,2,0,0,0,0,0,,N,1,3,1,1,2/28/2006,5:00 PM,S,NW,2006,Y,1184
OAK ST,WASHINGTON ST,20060758,2,0,0,0,0,0,,N,25,1,1,1,4/20/2006,7:00 PM,S,W,2006,Y,1099
HOWARD AVE,JEFFERSON ST,20060771,2,0,1,0,0,0,,N,1,1,1,1,4/22/2006,7:08 PM,E,E,2006,Y,1006
MAIN ST,R T DUNN DR,20061007,2,0,0,0,0,0,,N,4,3,1,1,5/22/2006,5:45 PM,E,S,2006,Y,1578
MASON ST WEST,MONROE ST,20061279,2,1,0,0,0,200,W,N,12,1,1,4,7/5/2006,10:08 PM,E,W,2006,N,215
ROBINSON ST,LOCUST ST,20061426,2,0,0,0,0,0,,N,1,2,1,1,7/22/2006,7:20 PM,S,E,2006,Y,164
MORRIS AVE,TAYLOR ST,20061492,2,0,1,1,0,60,E,N,25,1,1,1,7/28/2006,6:03 PM,NE,W,2006,N,1031
MAIN ST,WOOD ST,20061543,2,0,0,0,0,0,,N,1,3,1,1,8/4/2006,1:15 PM,N,W,2006,N,1468
MASON ST,LOCUST ST,20062311,2,1,0,0,0,0,,N,1,12,1,1,11/5/2006,4:16 PM,W,S,2006,Y,201
MORRIS AVE,OAKLAND AVE,20062448,2,1,0,0,0,0,,N,1,2,2,1,11/14/2006,4:15 PM,E,N,2006,Y,211
MAIN ST,STEWART ST,20062599,2,0,0,0,0,0,,N,20,1,1,3,10/22/2006,6:00 PM,W,S,2006,Y,1553
BROWN ST,MARKET ST,20070847,2,0,0,1,0,100,W,Y,14,1,1,1,4/22/2007,4:01 PM,W,N,2007,N,841
MADISON ST,WASHINGTON ST,20071034,2,0,0,0,0,100,S,N,25,99,9,1,5/8/2007,4:25 PM,W,N,2007,N,1102
BUNN ST,OAKLAND AVE,20071114,2,0,0,1,0,0,,N,1,3,1,1,5/25/2007,5:57 PM,W,N,2007,Y,265
FELL AVE,EMERSON ST,20071282,2,0,1,0,0,0,,N,9,2,1,1,6/20/2007,7:00 AM,N,W,2007,Y,175
FAIRWAY DR,EMPIRE FRONTAGE RD NORTH,20071483,2,0,1,0,0,0,,N,4,2,9,1,7/16/2007,7:45 AM,S,S,2007,Y,622
COMMERCE PKWY,VETERANS PKWY,20071537,2,0,0,0,1,0,,N,1,3,1,1,7/24/2007,7:20 AM,N,W,2007,Y,96
SADDLEBROOK DR,SABLE OAKS RD,20071701,2,0,1,0,0,0,,N,8,4,1,1,8/11/2007,4:53 PM,E,N,2007,Y,2119
STATE FARM PLZ,WASHINGTON AVE,20071730,2,0,0,0,0,0,,N,4,3,1,1,8/17/2007,3:38 PM,E,SE,2007,Y,2005
MAIN ST,SOUTHGATE TRAILER PARK,20071839,2,0,0,0,0,75,N,Y,1,1,1,5,8/29/2007,10:25 AM,N,N,2007,N,1599
EAST ST,JEFFERSON ST,20072020,2,0,0,1,0,0,,N,4,3,1,1,9/27/2007,9:24 AM,W,S,2007,Y,1092
LEE ST,SEMINARY AVE,20072052,2,0,0,0,0,0,,N,1,2,1,1,9/19/2007,4:57 PM,W,N,2007,Y,726
MAIN ST,VETERANS PKWY,20072129,2,0,0,1,0,0,,N,1,3,1,1,10/13/2007,12:21 PM,N,E,2007,Y,88
MCCLUN ST,OAKLAND AVE,20080870,2,0,0,0,0,0,,N,3,2,1,1,4/11/2008,3:55 PM,S,E,2008,Y,264
LEE ST,MULBERRY ST,20080980,2,0,0,1,0,0,,N,1,2,2,1,5/2/2008,10:11 AM,W,S,2008,Y,1059
ALLIN ST,MONROE ST,20081060,2,0,1,0,0,0,,N,7,2,1,1,5/18/2008,6:51 PM,W,S,2008,Y,1004
MCCLUN ST,OAKLAND AVE,20081094,2,0,0,0,0,0,,N,9,2,9,1,5/20/2008,6:00 PM,S,W,2008,Y,264
HERSHEY RD,OAKLAND AVE,20081365,2,0,1,0,0,0,,N,5,3,1,1,7/1/2008,3:16 PM,N,W,2008,Y,469
COLTON AVE,EMERSON ST,20081490,2,0,0,0,0,0,,N,1,2,1,1,7/22/2008,7:13 PM,W,N,2008,Y,656
MERCER AVE,LINCOLN ST,20081552,2,0,0,0,0,100,E,N,12,2,1,1,7/30/2008,5:36 PM,SW,N,2008,N,1390
MAIN ST,EMPIRE ST,20081573,2,0,1,0,0,0,,N,25,13,1,1,8/1/2008,1:00 PM,W,N,2008,Y,183
BUNN ST,BAKER ST,20081799,2,0,1,0,0,0,,N,3,1,1,1,9/2/2008,7:58 AM,S,S,2008,Y,1548
AIRPORT RD,WISTERIA LN,20081821,2,1,0,0,0,150,E,N,25,1,1,1,9/6/2008,10:56 AM,S,W,2008,N,127
LEE ST,LOCUST ST,20081846,2,0,0,0,0,0,,N,11,2,2,1,9/11/2008,11:35 AM,N,W,2008,Y,199
MAIN ST,SEMINARY AVE,20081993,2,0,0,0,0,0,,N,25,2,1,1,10/1/2008,11:47 AM,S,E,2008,Y,192
MAIN ST,VETERANS PKWY SOUTH,20090321,2,0,0,1,0,0,,N,4,3,2,1,2/5/2009,12:43 PM,E,N,2009,Y,1592
LEE ST,MARKET ST,20090579,2,0,0,0,0,0,,N,1,2,1,1,3/21/2009,5:50 PM,E,S,2009,Y,1079
ROBINSON ST,LOCUST ST,20090672,2,0,1,0,0,0,,N,99,2,1,1,4/9/2009,3:05 PM,N,W,2009,Y,164
OAK ST,WASHINGTON ST,20091018,2,0,1,0,0,0,,N,1,2,1,1,6/6/2009,4:03 PM,N,E,2009,Y,1099
EVANS ST,LOCUST ST,20091154,2,0,0,2,0,0,N,N,11,2,1,1,6/29/2009,5:33 PM,N,W,2009,Y,166
BROWN ST,MARKET ST,20091187,2,0,0,0,1,65,S,Y,17,1,1,1,7/7/2009,1:55 PM,W,S,2009,N,841
LIVINGSTON ST,JACKSON ST,20091273,2,0,0,0,0,150,E,N,15,1,1,1,7/21/2009,4:25 PM,W,W,2009,N,1038
MAIN ST,MARKET ST,20091274,2,0,0,0,0,20,W,Y,15,1,1,1,7/22/2009,5:19 PM,W,N,2009,Y,1075
CENTER ST,WASHINGTON ST,20091426,2,0,0,0,0,0,,N,1,99,1,1,8/18/2009,3:55 PM,S,S,2009,N,1103
EAST ST,LOCUST ST,20091457,2,0,0,0,0,0,,N,7,2,1,1,8/6/2009,7:39 PM,N,S,2009,Y,179
MORRIS AVE,MARKET ST EAST,20091483,2,0,1,0,0,0,,N,25,3,1,1,8/29/2009,12:56 PM,E,N,2009,Y,1000
EAST ST,MARKET ST SOUTH,20091502,2,0,1,0,0,0,,N,4,2,1,1,8/29/2009,1:05 PM,W,S,2009,Y,1072
ARLENE DR,LINCOLN ST,20100309,2,0,1,0,0,0,,N,20,1,1,2,2/2/2010,6:31 AM,NE,E,2010,Y,1386
ALLIN ST,TAYLOR ST,20100548,2,0,1,0,0,250,W,N,20,1,1,1,3/24/2010,12:47 PM,N,E,2010,N,1032
LEE ST,OLIVE ST,20100926,2,0,1,0,0,0,,N,1,2,1,1,5/29/2010,2:41 PM,W,S,2010,Y,1131
DENVER ST,OAKLAND AVE,20101233,2,0,1,0,0,0,,N,4,2,1,1,6/8/2010,6:30 PM,S,E,2010,Y,262
ALLIN ST,JEFFERSON ST,20101347,2,0,1,0,0,0,,N,1,1,1,1,7/29/2010,2:10 PM,W,N,2010,Y,1005
ROOSEVELT AVE,MARKET ST,20101375,2,0,1,0,0,0,,N,1,2,1,1,8/12/2010,12:29 PM,N,E,2010,Y,1078
BROWN ST,MARKET ST,20101524,2,0,1,0,0,200,S,N,20,12,1,1,9/3/2010,1:09 PM,W,S,2010,N,841
CENTER ST,KELSEY ST,20101526,2,0,1,0,0,0,,N,9,2,1,1,9/3/2010,3:52 PM,E,N,2010,Y,719
COTTAGE AVE,MARTIN LUTHER KING DR,20101548,2,0,1,0,0,0,,N,1,1,1,1,8/31/2010,5:30 PM,N,N,2010,Y,105
LEE ST,GROVE ST,20101578,2,0,1,0,0,0,,N,1,2,1,1,9/12/2010,6:30 PM,E,S,2010,Y,1117
MAIN ST,LINCOLN ST,20101590,2,1,0,0,0,0,,N,4,2,1,1,9/15/2010,5:25 PM,W,S,2010,Y,1532
MAIN ST,LOCUST ST,20101593,2,1,0,0,0,0,,N,1,3,1,1,9/15/2010,11:28 AM,W,NE,2010,Y,180
ESSINGTON ST,LAUDERHILL LN,20101688,2,0,1,0,0,0,,N,25,1,1,1,9/30/2010,5:31 PM,E,S,2010,Y,2322
EAST ST,WASHINGTON ST,20101878,2,0,1,0,0,0,,N,1,1,1,2,11/4/2010,7:50 PM,E,N,2010,Y,1105
MAIN ST,LOCUST ST,20110833,2,0,0,0,0,0,,N,4,3,1,1,5/17/2011,5:30 PM,W,S,2011,Y,180
FOUR SEASONS RD,OAKLAND AVE,20110983,2,0,0,1,0,0,,N,1,3,1,1,6/16/2011,6:30 PM,E,S,2011,Y,271
AIRPORT RD,GENERAL ELECTRIC RD,20111037,2,0,1,0,0,0,,N,25,3,1,1,6/27/2011,10:40 AM,W,S,2011,Y,129
CLINTON ST,WASHINGTON ST,20111191,2,0,1,0,0,100,E,N,20,1,1,1,7/22/2021,12:56 PM,N,W,2011,N,1184
AIRPORT RD,GENERAL ELECTRIC RD,20111266,2,0,0,1,0,0,,N,25,3,2,1,8/5/2011,7:25 AM,S,W,2011,Y,129
BROAD CREEK RD,GENERAL ELECTRIC RD,20111309,2,0,0,0,0,0,,N,4,1,1,1,8/12/2011,3:30 PM,S,W,2011,Y,2055
CAROLINE ST,MARKET ST,20111368,2,1,0,0,0,100,W,N,12,1,1,1,8/21/2011,10:31 AM,E,SW,2011,N,839
MORRIS AVE,MARKET ST WEST,20111666,2,0,1,0,0,0,,N,4,1,2,3,10/19/2011,5:00 PM,N,W,2011,Y,851
AIRPORT RD,GENERAL ELECTRIC RD,20120341,2,0,0,1,0,0,,N,1,3,1,1,3/2/2012,12:47 PM,S,W,2012,Y,129
MCCLUN ST,GROVE ST,20120698,2,0,0,0,0,0,,N,11,2,1,1,5/12/2012,3:00 PM,S,E,2012,Y,1192
BUNN ST,CROXTON AVE,20120750,2,0,1,0,0,0,,N,1,2,1,1,5/23/2012,5:47 PM,W,N,2012,Y,1501
MAIN ST,CHESTNUT ST,20120884,2,0,0,0,0,0,,N,1,2,1,1,6/12/2012,5:05 PM,E,S,2012,Y,181
BROWN ST,MARKET ST,20120895,2,0,1,0,0,0,,N,9,3,1,1,6/16/2012,11:17 AM,NE,W,2012,Y,841
COUNTRY LN,OAKLAND AVE,20121009,2,1,0,0,0,12,S,N,7,2,1,1,7/10/2012,7:14 AM,N,W,2012,Y,428
CLINTON ST,WASHINGTON ST,20121189,2,0,1,0,0,0,,N,4,3,1,1,8/7/2012,12:16 PM,W,S,2012,Y,1184
CLINTON ST,MARKET ST,20121334,2,0,1,0,0,0,,N,1,1,1,1,8/31/2012,5:25 PM,S,S,2012,N,1173
EVANS ST,WASHINGTON ST,20121491,2,1,0,0,0,0,,N,1,1,1,5,9/25/2012,9:55 PM,S,E,2012,Y,1186
MAIN ST,SEMINARY AVE,20121654,2,0,1,0,0,0,,N,1,2,1,1,10/18/2012,11:59 AM,E,N,2012,Y,192
MASON ST,FRONT ST,20122045,2,1,0,0,0,0,,N,1,2,1,4,12/27/2012,7:30 PM,W,SE,2012,Y,219
MORRIS AVE,VETERANS PKWY,20130016,2,0,0,0,0,0,,N,99,1,1,1,1/2/2013,5:30 PM,W,W,2013,Y,78
VETERANS PKWY,EASTLAND DR,20130265,2,0,0,0,0,0,,N,1,2,1,2,2/8/2013,6:30 PM,N,N,2013,Y,137
VETERANS PKWY,EMPIRE ST,20130682,2,0,0,0,0,0,,N,1,1,1,2,4/18/2013,5:50 PM,SE,SE,2013,Y,135
SUSAN DR,COLLEGE AVE,20130719,2,0,0,0,0,250,W,N,1,2,1,2,4/27/2013,3:40 PM,SE,SE,2013,N,1946
PRAIRIE ST,CHESTNUT ST,20130753,2,0,0,0,0,0,,N,1,2,2,1,5/4/2013,4:00 PM,NE,SE,2013,Y,712
PRAIRIE ST,CHESTNUT ST,20130754,2,0,0,0,0,0,,N,1,2,2,1,5/4/2013,4:00 PM,NE,SE,2013,Y,712
VETERANS PKWY,IRELAND GROVE RD,20130816,2,0,0,0,0,0,,N,1,1,2,1,5/14/2013,5:15 PM,N,N,2013,Y,102
BRICKYARD DR,VETERANS PKWY,20130819,2,0,0,0,0,0,,N,1,2,2,1,5/16/2013,5:20 PM,N,N,2013,Y,98
LEE ST,EMERSON ST,20130823,2,0,0,1,0,0,,N,1,2,1,1,5/18/2013,2:53 PM,N,E,2013,Y,722
MCLEAN ST,LOCUST ST,20130893,2,0,0,1,0,0,,N,9,2,2,1,5/29/2013,10:00 AM,N,W,2013,Y,177
ELDORADO RD,OAKLAND AVE,20130941,2,1,0,0,0,0,,N,9,2,1,1,6/7/2013,7:48 AM,N,W,2013,Y,425
ST JOSEPH DR,WASHINGTON ST,20131363,2,0,0,0,0,0,,Y,4,3,1,1,8/20/2013,3:00 PM,N,W,2013,Y,1238
CLINTON ST,MONROE ST,20131385,2,0,1,0,0,0,N,N,1,2,1,1,8/12/2013,2:43 PM,W,S,2013,Y,1176
MORRISSEY DR,VETERANS PKWY,20131406,2,0,0,0,0,0,,N,1,2,1,1,8/27/2013,3:40 PM,S,S,2013,Y,97
STORTZ DR,EMPIRE ST,20131408,2,1,0,0,0,200,S,N,1,1,1,1,8/27/2013,11:55 AM,W,SW,2013,N,637
JULIE DR,LINCOLN ST,20131442,2,0,1,0,0,0,,N,1,2,1,1,8/23/2013,3:40 PM,W,N,2013,Y,1525
LINDEN ST,WALNUT ST,20131633,2,0,1,0,0,100,W,N,16,1,1,1,10/3/2013,5:00 PM,N,W,2013,N,673
MORRIS AVE,TAYLOR ST,20131798,2,0,1,0,0,0,,N,1,1,1,1,11/3/2013,11:06 AM,N,SE,2013,Y,1031
GRIDLEY ST,OAKLAND AVE,20132084,2,0,0,0,0,100,E,N,2,2,2,1,12/19/2013,4:45 PM,N,N,2013,N,241
MCCLUN ST,OLIVE ST,20132087,2,0,0,0,0,60,S,N,99,1,1,2,12/19/2013,7:20 PM,N,N,2013,N,1202
GRIDLEY ST,TAYLOR ST,20132148,2,0,0,0,0,100,E,N,2,2,1,2,12/25/2013,5:00 PM,N,N,2013,N,1137
EASTHOLME AVE,EMPIRE ST,20140006,2,0,0,0,0,0,,Y,99,2,1,2,1/3/2014,3:15 PM,N,N,2014,Y,669
PROSPECT RD,ELDORADO RD SOUTH,20140017,2,0,0,0,0,60,E,Y,1,1,1,1,1/4/2014,7:30 PM,NE,SE,2014,N,471
MAIN ST,R T DUNN DR,20140201,2,0,0,0,0,0,,N,1,1,1,1,1/30/2014,4:30 PM,S,S,2014,Y,1578
CLINTON ST,LOCUST ST,14-45717,2,0,0,0,0,0,,Y,1,1,1,1,3/30/2014,11:17 AM,N,E,2014,N,165
PRAIRIE ST,WASHINGTON ST,14-44522,2,0,0,0,0,0,,N,1,3,1,4,4/12/2014,2:54 AM,W,NW,2014,Y,1106
GRIDLEY ST,OAKLAND AVE,14-40522,2,0,0,0,0,0,,N,3,2,1,1,5/4/2014,12:48 PM,S,W,2014,Y,241
GETTYSBURG DR,ARROWHEAD DR,14-40930,2,1,0,0,0,0,W,N,1,2,6,1,5/20/2014,5:27 PM,N,NA,2014,Y,297
MERCER AVE,VETERANS PKWY,14-47323,2,0,0,1,0,0,E,N,12,3,1,5,5/25/2014,9:35 PM,SW,NE,2014,Y,99
MASON ST,FRONT ST,14-42923,2,0,0,1,0,0,N,N,4,2,1,1,5/27/2014,8:55 AM,SW,E,2014,Y,219
MAIN ST,STEWART ST,14-46716,2,0,0,1,0,0,E,N,8,2,1,1,6/3/2014,8:27 AM,E,SW,2014,Y,1553
CATHERINE ST,MARKET ST,14-51114,2,0,0,2,0,100,S,N,1,1,1,1,6/11/2014,4:49 PM,W,S,2014,Y,998
ALLIN ST,WALNUT ST,14-45328,2,0,1,0,0,0,,Y,1,1,1,1,6/19/2014,3:52 PM,W,E,2014,N,759
LANGS ALLEY,JACKSON ST,14-45333,2,0,1,0,0,0,,N,1,1,1,1,7/27/2014,2:50 PM,N,E,2014,Y,1054
I A A DR,VERNON AVE,14-52528,2,1,0,0,0,200,W,N,1,1,1,1,8/31/2014,5:23 PM,W,N,2014,N,621
CENTER ST,FRONT ST,14-48550,2,0,0,0,0,0,,N,1,3,1,1,9/8/2014,2:40 PM,S,W,2014,Y,1112
EAST ST,FRONT ST,14-46332,2,0,1,0,0,0,,N,1,3,1,5,9/26/2014,7:48 PM,W,N,2014,Y,1110
CENTER ST,EMERSON ST,14-40766,2,0,0,1,0,0,,N,4,3,1,1,9/29/2014,2:00 PM,S,E,2014,Y,720
ROBINSON ST,OAKLAND AVE,14-44570,2,0,1,0,0,0,,N,1,2,1,1,10/17/2014,11:32 AM,E,S,2014,Y,266
OAK ST,MONROE ST,14-47370,2,1,0,0,0,0,,N,99,99,1,1,11/11/2014,3:38 PM,W,NA,2014,N,1081
KENNETH DR,LISA DR,14-49940,2,0,1,0,0,5,W,N,4,2,1,1,12/9/2014,2:15 PM,NE,N,2014,Y,359
CENTER ST,MARKET ST,14-42954,2,0,1,0,0,0,,N,99,3,1,1,9/23/2014,8:01 AM,NA,S,2014,Y,1076
LOW ST,BISSELL ST,15-45940,2,0,0,0,0,0,,N,15,4,1,1,3/30/2015,3:15 PM,W,N,2015,N,1512
MAIN ST,EMPIRE ST,15-61714,2,0,1,0,0,0,,N,1,3,1,1,4/8/2015,4:48 PM,E,N,2015,Y,183
MAIN ST,OLIVE ST,15-56337,2,0,0,1,0,0,,N,3,3,1,5,4/18/2015,5:00 AM,E,W,2015,Y,1127
ALLIN ST,JEFFERSON ST,15-56344,2,0,0,0,0,0,,N,1,1,1,1,5/6/2015,6:10 PM,W,N,2015,Y,1005